used_for,value,counter,reading,read_key,usage_notes,priority,source,add_date,revision_date,also_used_for
people,,人,nin,nin,,1,,2022-06-26,2022-07-15,person
people,1,人,hitori,nin,,1,,2022-07-15,,person
people,2,人,futari,nin,,1,,2022-07-15,,person
customer,,名,mei,mei,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,"people,person"
animal,,匹,*hiki,*hiki,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,"fish,insect,small bird"
large animal,,頭,tou,tou,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,"elephant,whale,butterfly"
fish,,尾,bi,bi,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,
fish,,本,*hon,*hon,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,
bird,,羽,wa,wa,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,
shellfish,,個,ko,ko,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,
thing,,個,ko,ko,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,"item,physical item"
grain,,粒,-tsubu,-tsubu,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,"rice,barley,wheat,oat,pearl,pill,tablet,tear"
long item,,本,*hon,*hon,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,"pole,clothesline,necktie,umbrella,chimney,scallion,green onion,spring onion"
flat item,,枚,mai,mai,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,"map,inkstone,mirror,blackboard"
flat item,,面,men,men,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,"map,inkstone,mirror,blackboard"
bundle,,把,wa,wa,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,handful
bundle,,束,-taba,-taba,,1,https://www.sanabo.com/kazoekata/kihon/,2022-06-26,,
chained item,,連,ren,ren,,1,https://www.sanabo.com/kazoekata/kihon/,2022-07-04,,"neckless pearl,bead,item connected with straw"
handheld tool,,丁,chou,chou,,1,https://www.sanabo.com/kazoekata/kihon/,2022-07-04,,"knife,hoe,scissor,scissors"
handheld tool,,本,hon,hon,,1,https://www.sanabo.com/kazoekata/kihon/,2022-07-04,,"knife,hoe,scissor,scissors"
machine,,台,dai,dai,,1,https://www.sanabo.com/kazoekata/kihon/,2022-07-04,,"appliance,equipment,tool,television,computer,electrical device"
structure,,基,ki,ki,,1,https://www.sanabo.com/kazoekata/kihon/,2022-07-04,,"tower,gas tank,nuclear reactor,fixed structure"
*,,つ,_tsu,_tsu,,1,https://www.tofugu.com/japanese/japanese-counters-list/,2022-07-05,2022-07-15,
object,,個,ko,ko,,1,https://www.tofugu.com/japanese/japanese-counter-ko/,2022-07-05,,physical thing
empty container,,個,ko,ko,,1,https://www.tofugu.com/japanese/japanese-counter-ko/,2022-07-05,,
extremely large object,,個,ko,ko,,1,https://www.tofugu.com/japanese/japanese-counter-ko/,2022-07-05,,"planet,meteorite,cloud,typhoon,tornado,hurricane"
extremely small object,,個,ko,ko,,1,https://www.tofugu.com/japanese/japanese-counter-ko/,2022-07-05,,"cell,virus,bacteria,grain of pollen"
bruise,,個,ko,ko,,1,https://www.tofugu.com/japanese/japanese-counter-ko/,2022-07-05,,"shadow,stain"
month,,ヶ月,kagetsu,kagetsu,,1,https://www.tofugu.com/japanese/japanese-counter-ko/,2022-07-05,,
